Time(min),Pulses,Random,Step
0,23.828,23.828,23.828
5,23.828,23.828,23.828
10,23.828,23.828,23.828
15,23.828,23.828,23.828
20,23.828,23.828,23.828
25,23.828,23.828,23.828
30,23.828,23.828,23.828
35,23.828,23.828,23.828
40,23.828,23.828,23.828
45,23.828,23.828,23.828
50,23.828,23.828,23.828
55,23.828,23.828,23.828
60,23.828,23.828,23.828
65,23.828,23.828,23.828
70,23.828,23.828,23.828
75,23.828,23.828,23.828
80,23.828,23.828,23.828
85,23.828,23.828,23.828
90,23.828,23.828,23.828
95,23.828,23.828,23.828
100,23.828,23.828,23.828
105,23.828,23.828,23.828
110,23.828,23.828,23.828
115,23.828,23.828,23.828
120,23.828,23.828,23.828
125,23.828,23.828,23.828
130,23.828,23.828,23.828
135,23.828,23.828,23.828
140,23.828,23.828,23.828
145,23.828,23.828,23.828
150,23.828,23.828,23.828
155,23.828,23.828,23.828
160,23.828,23.828,23.828
165,23.828,23.828,23.828
170,23.828,23.828,23.828
175,23.828,23.828,23.828
180,23.828,23.828,23.828
185,23.887,23.885,23.887
190,24.248,24.235,24.246
195,25.094,25.056,25.089
200,26.519,26.438,26.508
205,28.557,28.414,28.537
210,31.205,30.982,31.173
215,34.436,34.115,34.391
220,38.211,37.776,38.15
225,42.484,41.92,42.404
230,47.205,46.498,47.105
235,52.326,51.464,52.205
240,57.799,56.772,57.655
245,63.522,62.379,63.412
250,69.209,68.244,69.434
255,74.64,74.332,75.685
260,79.687,80.608,82.129
265,84.286,87.044,88.738
270,88.411,93.611,95.481
275,92.063,100.29,102.34
280,95.261,107.05,109.28
285,98.032,113.88,116.29
290,100.41,120.76,123.36
295,102.42,127.68,130.46
300,104.1,134.62,137.58
305,105.48,141.56,144.72
310,106.6,148.52,151.86
315,107.48,155.46,158.98
320,108.15,162.38,166.1
325,108.63,169.29,173.18
330,108.95,176.16,180.24
335,109.12,183,187.26
340,109.16,189.8,194.25
345,109.08,196.56,201.18
350,108.91,203.27,208.07
355,108.64,209.93,214.91
360,108.31,216.54,221.7
365,107.9,223.09,228.43
370,107.43,229.6,235.11
375,106.92,236.05,241.72
380,106.36,242.46,248.28
385,105.77,248.81,254.77
390,105.14,255.11,261.2
395,104.48,261.35,267.57
400,103.8,267.54,273.88
405,103.11,273.68,280.12
410,102.39,279.76,286.3
415,101.66,285.78,292.42
420,100.93,291.75,298.47
425,100.18,297.65,304.46
430,99.427,303.5,310.38
435,98.669,309.29,316.25
440,97.908,315.02,322.04
445,97.146,320.7,327.78
450,96.383,326.31,333.45
455,95.621,331.86,339.06
460,94.86,337.36,344.61
465,94.101,342.79,350.1
470,93.345,348.17,355.52
475,92.592,353.49,360.89
480,91.844,358.75,366.2
485,91.159,363.96,371.45
490,90.782,369.1,376.63
495,90.895,374.19,381.77
500,91.592,379.23,386.84
505,92.907,384.21,391.85
510,94.839,389.13,396.81
515,97.36,394,401.72
520,100.43,398.81,406.57
525,104.01,403.57,411.36
530,108.04,408.27,416.1
535,112.48,412.93,420.78
540,117.27,417.53,425.42
545,122.32,422.02,430
550,127.35,426.16,434.53
555,132.12,429.78,439
560,136.52,432.78,443.43
565,140.47,435.12,447.8
570,143.96,436.82,452.13
575,146.99,437.9,456.41
580,149.56,438.39,460.64
585,151.72,438.35,464.82
590,153.48,437.82,468.95
595,154.89,436.85,473.03
600,155.98,435.5,477.07
605,156.77,433.79,481.07
610,157.31,431.77,485.02
615,157.61,429.49,488.92
620,157.71,426.97,492.78
625,157.63,424.25,496.59
630,157.39,421.35,500.36
635,157,418.29,504.09
640,156.5,415.11,507.78
645,155.88,411.82,511.42
650,155.18,408.43,515.02
655,154.39,404.97,518.58
660,153.53,401.44,522.1
665,152.61,397.87,525.58
670,151.63,394.25,529.03
675,150.62,390.61,532.43
680,149.56,386.94,535.79
685,148.47,383.25,539.12
690,147.36,379.56,542.4
695,146.22,375.87,545.65
700,145.07,372.18,548.86
705,143.9,368.49,552.04
710,142.72,364.82,555.18
715,141.53,361.16,558.28
720,140.34,357.52,561.35
725,139.15,353.96,564.38
730,137.95,350.71,567.38
735,136.75,347.98,570.35
740,135.56,345.83,573.28
745,134.37,344.33,576.18
750,133.18,343.45,579.04
755,132,343.18,581.87
760,130.82,343.47,584.67
765,129.65,344.29,587.44
770,128.49,345.59,590.18
775,127.34,347.31,592.88
780,126.2,349.41,595.56
785,125.12,351.85,598.2
790,124.35,354.58,600.81
795,124.08,357.58,603.4
800,124.4,360.8,605.95
805,125.35,364.21,608.48
810,126.91,367.8,610.97
815,129.06,371.52,613.44
820,131.77,375.37,615.88
825,134.99,379.32,618.29
830,138.67,383.35,620.68
835,142.76,387.45,623.04
840,147.21,391.61,625.37
845,151.92,395.81,627.67
850,156.61,400.04,629.95
855,161.05,404.3,632.2
860,165.12,408.57,634.43
865,168.74,412.85,636.63
870,171.91,417.13,638.8
875,174.62,421.4,640.95
880,176.88,425.67,643.08
885,178.72,429.92,645.18
890,180.18,434.15,647.26
895,181.28,438.36,649.31
900,182.07,442.55,651.35
905,182.56,446.71,653.35
910,182.81,450.8,655.34
915,182.82,454.82,657.3
920,182.63,458.75,659.24
925,182.27,462.58,661.16
930,181.74,466.31,663.06
935,181.08,469.95,664.93
940,180.3,473.49,666.78
945,179.42,476.95,668.62
950,178.44,480.32,670.43
955,177.39,483.62,672.22
960,176.27,486.84,673.99
965,175.09,489.99,675.74
970,173.86,493.08,677.47
975,172.59,496.1,679.18
980,171.28,499.07,680.87
985,169.94,501.98,682.54
990,168.58,504.84,684.19
995,167.21,507.65,685.83
1000,165.81,510.41,687.44
1005,164.41,513.13,689.04
1010,163,515.8,690.62
1015,161.58,518.44,692.18
1020,160.16,521.03,693.72
1025,158.74,523.59,695.25
1030,157.32,526.11,696.75
1035,155.9,528.59,698.24
1040,154.49,531.04,699.72
1045,153.08,533.46,701.17
1050,151.68,535.84,702.61
1055,150.29,538.2,704.04
1060,148.9,540.52,705.45
1065,147.53,542.81,706.84
1070,146.16,545.08,708.21
1075,144.81,547.32,709.57
1080,143.47,549.52,710.92
1085,142.19,551.65,712.25
1090,141.23,553.49,713.56
1095,140.77,554.87,714.86
1100,140.9,555.71,716.14
1105,141.65,555.98,717.41
1110,143.03,555.69,718.67
1115,145,554.86,719.91
1120,147.53,553.52,721.14
1125,150.57,551.72,722.35
1130,154.07,549.49,723.55
1135,157.98,546.89,724.73
1140,162.26,543.96,725.91
1145,166.8,540.73,727.06
1150,171.32,537.24,728.21
1155,175.59,533.53,729.34
1160,179.49,529.62,730.46
1165,182.96,525.55,731.57
1170,185.96,521.34,732.66
1175,188.51,517,733.74
1180,190.61,512.57,734.81
1185,192.3,508.06,735.87
1190,193.6,503.48,736.91
1195,194.55,498.84,737.95
1200,195.18,494.17,738.97
1205,195.53,489.47,739.98
1210,195.63,484.75,740.97
1215,195.5,480.02,741.96
1220,195.16,475.28,742.94
1225,194.65,470.55,743.9
1230,193.99,465.82,744.85
1235,193.19,461.11,745.8
1240,192.27,456.42,746.73
1245,191.25,451.75,747.65
1250,190.14,447.11,748.56
1255,188.95,442.49,749.46
1260,187.7,437.9,750.35
1265,186.39,433.36,751.23
1270,185.03,428.92,752.1
1275,183.63,424.61,752.96
1280,182.2,420.46,753.81
1285,180.74,416.47,754.65
1290,179.26,412.65,755.48
1295,177.76,408.99,756.3
1300,176.24,405.48,757.12
1305,174.72,402.12,757.92
1310,173.19,398.89,758.71
1315,171.66,395.79,759.5
1320,170.12,392.8,760.27
1325,168.59,389.92,761.04
1330,167.05,387.13,761.8
1335,165.53,384.44,762.55
1340,164,381.82,763.29
1345,162.49,379.29,764.02
1350,160.98,376.82,764.74
1355,159.48,374.42,765.46
1360,157.99,372.08,766.17
1365,156.51,369.79,766.87
1370,155.05,367.56,767.56
1375,153.59,365.37,768.24
1380,152.15,363.23,768.92
1385,150.78,361.13,769.59
1390,149.72,359.07,770.25
1395,149.16,357.05,770.9
1400,149.19,355.07,771.55
1405,149.85,353.11,772.18
1410,151.14,351.2,772.81
1415,153.02,349.31,773.44
1420,155.45,347.45,774.06
1425,158.4,345.62,774.67
1430,161.81,343.81,775.27
1435,165.64,342.04,775.86
